gap_period,signal_period,momentum_period,vol_period,final_equity,total_return,trades,skipped_executions,fees_paid,slippage_impact,final_holding,start,end,shard
50,10,111,21,15849.139444214068,14.849139444214,491,0,610.181473915532,2351.105673918944,GOAU4,2018-01-02,2026-08-19,13
44,8,41,21,15826.522127380214,14.826522127380,578,0,1145.221944461797,4188.289250673331,UGPA3,2018-01-02,2026-08-19,7
41,19,165,21,15786.504319643827,14.786504319644,409,0,868.292246413929,3165.434776736817,UGPA3,2018-01-02,2026-08-19,4
41,15,47,21,15692.899315372340,14.692899315372,491,0,539.323748841680,2145.056794469243,UGPA3,2018-01-02,2026-08-19,4
50,10,125,21,15660.474079490275,14.660474079490,493,0,572.448376585297,2219.547461982281,UGPA3,2018-01-02,2026-08-19,13
41,19,168,21,15598.876640673936,14.598876640674,393,0,899.725528291166,3244.499960058612,UGPA3,2018-01-02,2026-08-19,4
37,18,46,21,15556.563619357348,14.556563619357,463,0,586.292186039187,2279.761472597591,UGPA3,2018-01-02,2026-08-19,0
12,52,112,21,15540.476493584483,14.540476493584,491,0,632.612842858262,2450.562965532564,UGPA3,2018-01-02,2026-08-19,7
52,12,136,21,15410.535837136173,14.410535837136,454,8,438.549719351282,1761.129341902623,UGPA3,2018-01-02,2026-08-19,15
8,14,160,21,15406.012464420841,14.406012464421,574,0,953.426741696864,3571.596561168677,UGPA3,2018-01-02,2026-08-19,3
52,12,157,21,15342.224353637512,14.342224353638,460,7,510.979222759111,2007.634350044696,UGPA3,2018-01-02,2026-08-19,15
37,16,46,21,15276.698047881047,14.276698047881,474,0,573.126706582974,2253.084401254213,UGPA3,2018-01-02,2026-08-19,0
80,9,125,21,15258.689333674360,14.258689333674,500,0,999.424899753370,3653.394361179496,JHSF3,2018-01-02,2026-08-19,11
34,19,46,21,15214.233520477395,14.214233520477,490,0,576.108166927425,2230.815950942189,UGPA3,2018-01-02,2026-08-19,13
8,14,127,21,15201.288468090062,14.201288468090,576,0,1027.916258408562,3835.164596495020,UGPA3,2018-01-02,2026-08-19,3
75,9,121,21,15145.996492002814,14.145996492003,513,1,833.417232885056,3075.044114224248,TUPY3,2018-01-02,2026-08-19,6
12,51,110,21,15143.433179801928,14.143433179802,483,0,510.259584114443,2043.439803534067,GOAU4,2018-01-02,2026-08-19,7
12,52,133,21,15060.466447788176,14.060466447788,486,0,580.877501438990,2263.501293988940,UGPA3,2018-01-02,2026-08-19,7
52,12,148,21,15059.460250239959,14.059460250240,462,9,485.681216972605,1932.007489750289,UGPA3,2018-01-02,2026-08-19,15
38,15,46,21,14934.970158026095,13.934970158026,503,0,815.094224616230,3056.083666892434,UGPA3,2018-01-02,2026-08-19,1
8,44,41,21,14885.679037082507,13.885679037083,607,0,1186.886508257193,4338.973528120478,UGPA3,2018-01-02,2026-08-19,3
41,19,57,21,14858.570258561413,13.858570258561,445,0,722.473549122967,2710.483671246161,UGPA3,2018-01-02,2026-08-19,4
51,13,123,21,14852.622567437340,13.852622567437,459,1,531.463666876351,2063.459677836204,UGPA3,2018-01-02,2026-08-19,14
51,19,229,21,14840.733456562710,13.840733456563,397,0,872.528794636935,3192.158367447353,JHSF3,2018-01-02,2026-08-19,14
74,9,128,21,14835.247952934144,13.835247952934,503,0,563.783231178327,2213.075351265411,PETR4,2018-01-02,2026-08-19,5
38,15,54,21,14832.362014647300,13.832362014647,488,0,827.464035366976,3090.530990316388,UGPA3,2018-01-02,2026-08-19,1
40,20,63,21,14805.148661886711,13.805148661887,433,0,660.100528410527,2484.535132099534,FLRY3,2018-01-02,2026-08-19,3
52,12,130,21,14774.612919923353,13.774612919923,473,4,502.333800492597,1996.496014577418,UGPA3,2018-01-02,2026-08-19,15
48,9,191,21,14767.708410176960,13.767708410177,507,0,894.725453324982,3337.588430781169,JHSF3,2018-01-02,2026-08-19,11
29,2,215,21,14756.551640220869,13.756551640221,608,0,1527.678367719136,5560.093978792855,JHSF3,2018-01-02,2026-08-19,8
30,10,49,21,14755.432628062475,13.755432628062,525,0,923.651051566646,3428.781137905267,UGPA3,2018-01-02,2026-08-19,9
41,20,46,21,14749.542253821321,13.749542253821,457,0,606.170565083761,2367.330690425617,UGPA3,2018-01-02,2026-08-19,4
19,9,35,21,14740.809998498828,13.740809998499,593,0,1356.782425397967,4900.444371186156,UGPA3,2018-01-02,2026-08-19,14
