date,equity,cash,holding,shares,weekly_target
2024-09-30,20529.509076203452,6.781803476180,LREN3,1250,LREN3
2024-10-01,20313.599985294364,6.781803476180,LREN3,1250,LREN3
2024-10-02,20859.054530748908,6.781803476180,LREN3,1250,LREN3
2024-10-03,20415.872712567092,6.781803476180,LREN3,1250,LREN3
2024-10-04,20586.327258021633,6.781803476180,LREN3,1250,LREN3
2024-10-07,20321.649318925727,0.449318925725,QUAL3,10060,QUAL3
2024-10-08,20724.049318925729,0.449318925725,QUAL3,10060,QUAL3
2024-10-09,20724.049318925729,0.449318925725,QUAL3,10060,QUAL3
2024-10-10,20824.649318925723,0.449318925725,QUAL3,10060,QUAL3
2024-10-11,22233.049318925725,0.449318925725,QUAL3,10060,QUAL3
2024-10-14,22534.849318925728,0.449318925725,QUAL3,10060,QUAL3
2024-10-15,22836.649318925727,0.449318925725,QUAL3,10060,QUAL3
2024-10-16,22836.649318925727,0.449318925725,QUAL3,10060,QUAL3
2024-10-17,22132.449318925726,0.449318925725,QUAL3,10060,QUAL3
2024-10-18,21428.249318925726,0.449318925725,QUAL3,10060,QUAL3
2024-10-21,22132.449318925726,0.449318925725,QUAL3,10060,QUAL3
2024-10-22,21428.249318925726,0.449318925725,QUAL3,10060,QUAL3
2024-10-23,21830.649318925727,0.449318925725,QUAL3,10060,QUAL3
2024-10-24,21830.649318925727,0.449318925725,QUAL3,10060,QUAL3
2024-10-25,21428.249318925726,0.449318925725,QUAL3,10060,QUAL3
2024-10-28,22434.249318925726,0.449318925725,QUAL3,10060,QUAL3
2024-10-29,20925.249318925726,0.449318925725,QUAL3,10060,QUAL3
2024-10-30,22836.649318925727,0.449318925725,QUAL3,10060,QUAL3
2024-10-31,22836.649318925727,0.449318925725,QUAL3,10060,QUAL3
2024-11-01,23239.049318925729,0.449318925725,QUAL3,10060,QUAL3
2024-11-04,25653.449318925726,0.449318925725,QUAL3,10060,QUAL3
2024-11-05,26156.449318925726,0.449318925725,QUAL3,10060,QUAL3
2024-11-06,26558.849318925728,0.449318925725,QUAL3,10060,QUAL3
2024-11-07,22736.049318925725,0.449318925725,QUAL3,10060,QUAL3
2024-11-08,22836.649318925727,0.449318925725,QUAL3,10060,QUAL3
2024-11-11,23097.405976337432,4.808661404559,GOAU4,2682,GOAU4
2024-11-12,21930.706808858245,4.808661404559,GOAU4,2682,GOAU4
2024-11-13,22172.092843509112,4.808661404559,GOAU4,2682,GOAU4
2024-11-14,22252.554855059399,4.808661404559,GOAU4,2682,GOAU4
2024-11-18,22345.843470706375,0.883470706375,SUZB3,368,SUZB3
2024-11-19,22228.083470706377,0.883470706375,SUZB3,368,SUZB3
2024-11-21,22371.603470706377,0.883470706375,SUZB3,368,SUZB3
2024-11-22,22338.483470706378,0.883470706375,SUZB3,368,SUZB3
2024-11-25,22044.083470706377,0.883470706375,SUZB3,368,SUZB3
2024-11-26,21823.283470706374,0.883470706375,SUZB3,368,SUZB3
2024-11-27,21985.203470706376,0.883470706375,SUZB3,368,SUZB3
2024-11-28,22643.923470706377,0.883470706375,SUZB3,368,SUZB3
2024-11-29,22964.083470706377,0.883470706375,SUZB3,368,SUZB3
2024-12-02,22853.683470706375,0.883470706375,SUZB3,368,SUZB3
2024-12-03,23332.083470706377,0.883470706375,SUZB3,368,SUZB3
2024-12-04,23939.283470706374,0.883470706375,SUZB3,368,SUZB3
2024-12-05,23957.683470706375,0.883470706375,SUZB3,368,SUZB3
2024-12-06,24079.123470706378,0.883470706375,SUZB3,368,SUZB3
2024-12-09,24528.083470706377,0.883470706375,SUZB3,368,SUZB3
2024-12-10,23777.363470706376,0.883470706375,SUZB3,368,SUZB3
2024-12-11,23589.683470706375,0.883470706375,SUZB3,368,SUZB3
2024-12-12,23184.883470706376,0.883470706375,SUZB3,368,SUZB3
2024-12-13,22971.443470706377,0.883470706375,SUZB3,368,SUZB3
2024-12-16,23505.043470706376,0.883470706375,SUZB3,368,SUZB3
2024-12-17,22875.763470706373,0.883470706375,SUZB3,368,SUZB3
2024-12-18,22673.363470706376,0.883470706375,SUZB3,368,SUZB3
2024-12-19,22338.483470706378,0.883470706375,SUZB3,368,SUZB3
2024-12-20,21941.043470706376,0.883470706375,SUZB3,368,SUZB3
2024-12-23,21827.528916237727,13.330896435751,KLBN11,946,KLBN11
2024-12-26,21893.093272673374,13.330896435751,KLBN11,946,KLBN11
2024-12-27,21752.598223168428,13.330896435751,KLBN11,946,KLBN11
2024-12-30,21743.231886534759,13.330896435751,KLBN11,946,KLBN11
2025-01-02,21584.004163762478,13.330896435751,KLBN11,946,KLBN11
2025-01-03,21246.816044950603,13.330896435751,KLBN11,946,KLBN11
2025-01-06,21370.242973524691,33.982973524692,BBSE3,586,BBSE3
2025-01-07,21440.562973524695,33.982973524692,BBSE3,586,BBSE3
2025-01-08,21311.642973524693,33.982973524692,BBSE3,586,BBSE3
2025-01-09,21294.062973524695,33.982973524692,BBSE3,586,BBSE3
2025-01-10,21212.022973524694,33.982973524692,BBSE3,586,BBSE3
2025-01-13,22126.104058668203,2.304058668200,IRBR3,459,IRBR3
2025-01-14,21630.384058668198,2.304058668200,IRBR3,459,IRBR3
2025-01-15,23434.254058668197,2.304058668200,IRBR3,459,IRBR3
2025-01-16,22998.204058668201,2.304058668200,IRBR3,459,IRBR3
2025-01-17,23966.694058668199,2.304058668200,IRBR3,459,IRBR3
2025-01-20,23824.404058668199,2.304058668200,IRBR3,459,IRBR3
2025-01-21,23273.604058668203,2.304058668200,IRBR3,459,IRBR3
2025-01-22,24049.314058668202,2.304058668200,IRBR3,459,IRBR3
2025-01-23,23305.734058668200,2.304058668200,IRBR3,459,IRBR3
